""
Total Debt
ST Debt
LT Debt
Total Debt/EBITDA
Net Debt/EBITDA
Total Debt/EBIT
Net Debt/EBIT
EBITDA to Interest Expense
EBITDA-CapEx/Interest Expense
EBIT to Interest Expense
Interest Expense
Common Equity/Total Assets
Long-Term Debt/Equity (%)
Long-Term Debt/Capital (%)
Long-Term Debt/Total Assets (%)
Total Debt/Equity (%)
Total Debt/Capital (%)
Total Debt/Total Assets (%)
Net Debt to Equity
Net Debt/Capital (%)
EBITDA
EBITDA-CapEx
Operating Income (Loss)
